trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
78014_04_109_38101,08:55:00,08:55:00,000000000600003,23,,3,3,,
78014_03_117_38102,08:56:00,08:56:00,000000051600003,36,,0,0,,
78014_03_117_38102,08:58:00,08:58:00,000000007100001,37,,3,3,,
78014_03_117_38102,08:59:00,08:59:00,000000010700001,38,,3,3,,
78014_03_117_38102,09:00:00,09:00:00,000000043400001,39,,3,3,,
78014_03_117_38102,09:01:00,09:01:00,000000037800001,40,,3,3,,
78014_03_117_38102,09:02:00,09:02:00,000000007800001,41,,3,3,,
78014_03_117_38102,09:03:00,09:03:00,000000040100001,42,,3,3,,
78014_03_117_38102,09:05:00,09:05:00,000000040000001,43,,3,3,,
78014_03_117_38102,09:06:00,09:06:00,000000020700001,44,,3,3,,
78014_03_117_38102,09:07:00,09:07:00,000000046700001,45,,3,3,,
78014_03_117_38102,09:08:00,09:08:00,000000044700001,46,,3,3,,
78014_03_117_38102,09:10:00,09:10:00,000000000600003,47,,3,3,,
78014_05_121_38103,09:11:00,09:11:00,000000051600003,12,,0,0,,
78014_05_121_38103,09:13:00,09:13:00,000000007100001,13,,3,3,,
78014_05_121_38103,09:14:00,09:14:00,000000010700001,14,,3,3,,
78014_05_121_38103,09:15:00,09:15:00,000000043400001,15,,3,3,,
78014_05_121_38103,09:16:00,09:16:00,000000037800001,16,,3,3,,
78014_05_121_38103,09:17:00,09:17:00,000000007800001,17,,3,3,,
78014_05_121_38103,09:18:00,09:18:00,000000040100001,18,,3,3,,
78014_05_121_38103,09:20:00,09:20:00,000000040000001,19,,3,3,,
78014_05_121_38103,09:21:00,09:21:00,000000020700001,20,,3,3,,
78014_05_121_38103,09:22:00,09:22:00,000000046700001,21,,3,3,,
78014_05_121_38103,09:23:00,09:23:00,000000044700001,22,,3,3,,
78014_05_121_38103,09:25:00,09:25:00,000000000600003,23,,3,3,,
78014_04_125_38104,09:26:00,09:26:00,000000051600003,36,,0,0,,
